partition,sample_id,image_path,mask_path,width,height,original_mask_width,original_mask_height,mask_resized_nearest,classes_present,mask_policy,non_exact_rgb_pixels,total_pixels,quantized_pixels,quantized_ratio,size_repaired,repair_method,scene_group_id
train_val,d_r_4_,data/suim_processed/images/train_val/d_r_4_.jpg,data/suim_processed/masks/train_val/d_r_4_.png,640,480,640,480,0,0|1|5,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_4_
train_val,d_r_510_,data/suim_processed/images/train_val/d_r_510_.jpg,data/suim_processed/masks/train_val/d_r_510_.png,640,480,640,480,0,0|1|2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_510_
train_val,d_r_513_,data/suim_processed/images/train_val/d_r_513_.jpg,data/suim_processed/masks/train_val/d_r_513_.png,960,540,960,540,0,0|1|4|5,bit_threshold,0,518400,0,0.0,False,none,scene:d_r_513_
train_val,d_r_553_,data/suim_processed/images/train_val/d_r_553_.jpg,data/suim_processed/masks/train_val/d_r_553_.png,800,600,800,600,0,0|1,bit_threshold,0,480000,0,0.0,False,none,scene:d_r_553_
train_val,d_r_563_,data/suim_processed/images/train_val/d_r_563_.jpg,data/suim_processed/masks/train_val/d_r_563_.png,640,480,640,480,0,0|1|6,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_563_
train_val,d_r_654_,data/suim_processed/images/train_val/d_r_654_.jpg,data/suim_processed/masks/train_val/d_r_654_.png,800,600,800,600,0,0|1,bit_threshold,0,480000,0,0.0,False,none,scene:d_r_654_
train_val,d_r_706_,data/suim_processed/images/train_val/d_r_706_.jpg,data/suim_processed/masks/train_val/d_r_706_.png,640,480,640,480,0,0|1|5,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_706_
train_val,d_r_741_,data/suim_processed/images/train_val/d_r_741_.jpg,data/suim_processed/masks/train_val/d_r_741_.png,1280,720,1280,720,0,0|1|4,bit_threshold,86188,921600,86188,0.0935199652777777,False,none,scene:d_r_741_
train_val,d_r_765_,data/suim_processed/images/train_val/d_r_765_.jpg,data/suim_processed/masks/train_val/d_r_765_.png,640,480,640,480,0,0|1|2|5,bit_threshold,0,307200,0,0.0,False,none,scene:d_r_765_
train_val,d_r_771_,data/suim_processed/images/train_val/d_r_771_.jpg,data/suim_processed/masks/train_val/d_r_771_.png,480,448,480,448,0,1|7,bit_threshold,0,215040,0,0.0,False,none,scene:d_r_771_
train_val,d_r_80_,data/suim_processed/images/train_val/d_r_80_.jpg,data/suim_processed/masks/train_val/d_r_80_.png,480,448,480,448,0,0|1|4,bit_threshold,0,215040,0,0.0,False,none,scene:d_r_80_
train_val,f_r_1017_,data/suim_processed/images/train_val/f_r_1017_.jpg,data/suim_processed/masks/train_val/f_r_1017_.png,640,480,640,480,0,0|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1017_
train_val,f_r_1034_,data/suim_processed/images/train_val/f_r_1034_.jpg,data/suim_processed/masks/train_val/f_r_1034_.png,640,480,640,480,0,0|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1034_
train_val,f_r_1041_,data/suim_processed/images/train_val/f_r_1041_.jpg,data/suim_processed/masks/train_val/f_r_1041_.png,960,540,960,540,0,0|2|5|6|7,bit_threshold,0,518400,0,0.0,False,none,scene:f_r_1041_
train_val,f_r_1061_,data/suim_processed/images/train_val/f_r_1061_.jpg,data/suim_processed/masks/train_val/f_r_1061_.png,640,480,640,480,0,0|2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1061_
train_val,f_r_1062_,data/suim_processed/images/train_val/f_r_1062_.jpg,data/suim_processed/masks/train_val/f_r_1062_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1062_
train_val,f_r_1098_,data/suim_processed/images/train_val/f_r_1098_.jpg,data/suim_processed/masks/train_val/f_r_1098_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1098_
train_val,f_r_1107_,data/suim_processed/images/train_val/f_r_1107_.jpg,data/suim_processed/masks/train_val/f_r_1107_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1107_
train_val,f_r_1119_,data/suim_processed/images/train_val/f_r_1119_.jpg,data/suim_processed/masks/train_val/f_r_1119_.png,640,480,640,480,0,5|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1119_
train_val,f_r_1124_,data/suim_processed/images/train_val/f_r_1124_.jpg,data/suim_processed/masks/train_val/f_r_1124_.png,640,480,640,480,0,0|2|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1124_
train_val,f_r_1129_,data/suim_processed/images/train_val/f_r_1129_.jpg,data/suim_processed/masks/train_val/f_r_1129_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1129_
train_val,f_r_1150_,data/suim_processed/images/train_val/f_r_1150_.jpg,data/suim_processed/masks/train_val/f_r_1150_.png,640,480,640,480,0,5|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1150_
train_val,f_r_115_,data/suim_processed/images/train_val/f_r_115_.jpg,data/suim_processed/masks/train_val/f_r_115_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_115_
train_val,f_r_1176_,data/suim_processed/images/train_val/f_r_1176_.jpg,data/suim_processed/masks/train_val/f_r_1176_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1176_
train_val,f_r_1195_,data/suim_processed/images/train_val/f_r_1195_.jpg,data/suim_processed/masks/train_val/f_r_1195_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1195_
train_val,f_r_1198_,data/suim_processed/images/train_val/f_r_1198_.jpg,data/suim_processed/masks/train_val/f_r_1198_.png,640,480,640,480,0,2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1198_
train_val,f_r_1202_,data/suim_processed/images/train_val/f_r_1202_.jpg,data/suim_processed/masks/train_val/f_r_1202_.png,640,480,640,480,0,0|2|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1202_
train_val,f_r_1232_,data/suim_processed/images/train_val/f_r_1232_.jpg,data/suim_processed/masks/train_val/f_r_1232_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1232_
train_val,f_r_1313_,data/suim_processed/images/train_val/f_r_1313_.jpg,data/suim_processed/masks/train_val/f_r_1313_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1313_
train_val,f_r_1322_,data/suim_processed/images/train_val/f_r_1322_.jpg,data/suim_processed/masks/train_val/f_r_1322_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1322_
train_val,f_r_1335_,data/suim_processed/images/train_val/f_r_1335_.jpg,data/suim_processed/masks/train_val/f_r_1335_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1335_
train_val,f_r_136_,data/suim_processed/images/train_val/f_r_136_.jpg,data/suim_processed/masks/train_val/f_r_136_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_136_
train_val,f_r_1389_,data/suim_processed/images/train_val/f_r_1389_.jpg,data/suim_processed/masks/train_val/f_r_1389_.png,640,480,640,480,0,0|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1389_
train_val,f_r_1443_,data/suim_processed/images/train_val/f_r_1443_.jpg,data/suim_processed/masks/train_val/f_r_1443_.png,640,480,640,480,0,0|2|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1443_
train_val,f_r_1459_,data/suim_processed/images/train_val/f_r_1459_.jpg,data/suim_processed/masks/train_val/f_r_1459_.png,640,480,640,480,0,2|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1459_
train_val,f_r_1469_,data/suim_processed/images/train_val/f_r_1469_.jpg,data/suim_processed/masks/train_val/f_r_1469_.png,640,480,640,480,0,0|2|5,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1469_
train_val,f_r_1542_,data/suim_processed/images/train_val/f_r_1542_.jpg,data/suim_processed/masks/train_val/f_r_1542_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1542_
train_val,f_r_1549_,data/suim_processed/images/train_val/f_r_1549_.jpg,data/suim_processed/masks/train_val/f_r_1549_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1549_
train_val,f_r_155_,data/suim_processed/images/train_val/f_r_155_.jpg,data/suim_processed/masks/train_val/f_r_155_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_155_
train_val,f_r_1579_,data/suim_processed/images/train_val/f_r_1579_.jpg,data/suim_processed/masks/train_val/f_r_1579_.png,640,480,640,480,0,0|2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1579_
train_val,f_r_1590_,data/suim_processed/images/train_val/f_r_1590_.jpg,data/suim_processed/masks/train_val/f_r_1590_.png,960,540,960,540,0,6|7,bit_threshold,0,518400,0,0.0,False,none,scene:f_r_1590_
train_val,f_r_1626_,data/suim_processed/images/train_val/f_r_1626_.jpg,data/suim_processed/masks/train_val/f_r_1626_.png,640,360,640,360,0,0|5|6,bit_threshold,0,230400,0,0.0,False,none,scene:f_r_1626_
train_val,f_r_1631_,data/suim_processed/images/train_val/f_r_1631_.jpg,data/suim_processed/masks/train_val/f_r_1631_.png,640,480,640,480,0,0|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1631_
train_val,f_r_165_,data/suim_processed/images/train_val/f_r_165_.jpg,data/suim_processed/masks/train_val/f_r_165_.png,640,480,640,480,0,0|2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_165_
train_val,f_r_1665_,data/suim_processed/images/train_val/f_r_1665_.jpg,data/suim_processed/masks/train_val/f_r_1665_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1665_
train_val,f_r_16_,data/suim_processed/images/train_val/f_r_16_.jpg,data/suim_processed/masks/train_val/f_r_16_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_16_
train_val,f_r_1701_,data/suim_processed/images/train_val/f_r_1701_.jpg,data/suim_processed/masks/train_val/f_r_1701_.png,640,480,640,480,0,0|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1701_
train_val,f_r_1743_,data/suim_processed/images/train_val/f_r_1743_.jpg,data/suim_processed/masks/train_val/f_r_1743_.png,640,480,640,480,0,0|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1743_
train_val,f_r_1772_,data/suim_processed/images/train_val/f_r_1772_.jpg,data/suim_processed/masks/train_val/f_r_1772_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1772_
train_val,f_r_1777_,data/suim_processed/images/train_val/f_r_1777_.jpg,data/suim_processed/masks/train_val/f_r_1777_.png,640,480,640,480,0,6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1777_
train_val,f_r_1783_,data/suim_processed/images/train_val/f_r_1783_.jpg,data/suim_processed/masks/train_val/f_r_1783_.png,960,540,960,540,0,0|5|6,bit_threshold,0,518400,0,0.0,False,none,scene:f_r_1783_
train_val,f_r_1804_,data/suim_processed/images/train_val/f_r_1804_.jpg,data/suim_processed/masks/train_val/f_r_1804_.png,640,480,640,480,0,6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1804_
train_val,f_r_1809_,data/suim_processed/images/train_val/f_r_1809_.jpg,data/suim_processed/masks/train_val/f_r_1809_.png,640,480,640,480,0,0|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1809_
train_val,f_r_1837_,data/suim_processed/images/train_val/f_r_1837_.jpg,data/suim_processed/masks/train_val/f_r_1837_.png,640,480,640,480,0,0|2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1837_
train_val,f_r_183_,data/suim_processed/images/train_val/f_r_183_.jpg,data/suim_processed/masks/train_val/f_r_183_.png,640,480,640,480,0,2|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_183_
train_val,f_r_1871_,data/suim_processed/images/train_val/f_r_1871_.jpg,data/suim_processed/masks/train_val/f_r_1871_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1871_
train_val,f_r_1897_,data/suim_processed/images/train_val/f_r_1897_.jpg,data/suim_processed/masks/train_val/f_r_1897_.png,640,480,640,480,0,3|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1897_
train_val,f_r_189_,data/suim_processed/images/train_val/f_r_189_.jpg,data/suim_processed/masks/train_val/f_r_189_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_189_
train_val,f_r_1900_,data/suim_processed/images/train_val/f_r_1900_.jpg,data/suim_processed/masks/train_val/f_r_1900_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1900_
train_val,f_r_1903_,data/suim_processed/images/train_val/f_r_1903_.jpg,data/suim_processed/masks/train_val/f_r_1903_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1903_
train_val,f_r_1926_,data/suim_processed/images/train_val/f_r_1926_.jpg,data/suim_processed/masks/train_val/f_r_1926_.png,640,480,640,480,0,0|5,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1926_
train_val,f_r_1955_,data/suim_processed/images/train_val/f_r_1955_.jpg,data/suim_processed/masks/train_val/f_r_1955_.png,640,480,640,480,0,0|5,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1955_
train_val,f_r_1961_,data/suim_processed/images/train_val/f_r_1961_.jpg,data/suim_processed/masks/train_val/f_r_1961_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1961_
train_val,f_r_1991_,data/suim_processed/images/train_val/f_r_1991_.jpg,data/suim_processed/masks/train_val/f_r_1991_.png,640,480,640,480,0,0|1|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1991_
train_val,f_r_1997_,data/suim_processed/images/train_val/f_r_1997_.jpg,data/suim_processed/masks/train_val/f_r_1997_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1997_
train_val,f_r_2020_,data/suim_processed/images/train_val/f_r_2020_.jpg,data/suim_processed/masks/train_val/f_r_2020_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_2020_
train_val,f_r_2043_,data/suim_processed/images/train_val/f_r_2043_.jpg,data/suim_processed/masks/train_val/f_r_2043_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_2043_
train_val,f_r_2053_,data/suim_processed/images/train_val/f_r_2053_.jpg,data/suim_processed/masks/train_val/f_r_2053_.png,640,480,640,480,0,5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_2053_
train_val,f_r_2055_,data/suim_processed/images/train_val/f_r_2055_.jpg,data/suim_processed/masks/train_val/f_r_2055_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_2055_
train_val,f_r_2075_,data/suim_processed/images/train_val/f_r_2075_.jpg,data/suim_processed/masks/train_val/f_r_2075_.png,640,480,640,480,0,2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_2075_
train_val,f_r_217_,data/suim_processed/images/train_val/f_r_217_.jpg,data/suim_processed/masks/train_val/f_r_217_.png,640,480,640,480,0,0|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_217_
train_val,f_r_225_,data/suim_processed/images/train_val/f_r_225_.jpg,data/suim_processed/masks/train_val/f_r_225_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_225_
train_val,f_r_270_,data/suim_processed/images/train_val/f_r_270_.jpg,data/suim_processed/masks/train_val/f_r_270_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_270_
train_val,f_r_274_,data/suim_processed/images/train_val/f_r_274_.jpg,data/suim_processed/masks/train_val/f_r_274_.png,640,480,640,480,0,0|5,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_274_
train_val,f_r_281_,data/suim_processed/images/train_val/f_r_281_.jpg,data/suim_processed/masks/train_val/f_r_281_.png,640,480,640,480,0,5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_281_
train_val,f_r_300_,data/suim_processed/images/train_val/f_r_300_.jpg,data/suim_processed/masks/train_val/f_r_300_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_300_
train_val,f_r_320_,data/suim_processed/images/train_val/f_r_320_.jpg,data/suim_processed/masks/train_val/f_r_320_.png,960,540,960,540,0,5|6|7,bit_threshold,0,518400,0,0.0,False,none,scene:f_r_2020_
train_val,f_r_34_,data/suim_processed/images/train_val/f_r_34_.jpg,data/suim_processed/masks/train_val/f_r_34_.png,640,480,640,480,0,0|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_34_
train_val,f_r_440_,data/suim_processed/images/train_val/f_r_440_.jpg,data/suim_processed/masks/train_val/f_r_440_.png,640,480,640,480,0,0|5,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_440_
train_val,f_r_448_,data/suim_processed/images/train_val/f_r_448_.jpg,data/suim_processed/masks/train_val/f_r_448_.png,640,480,640,480,0,0|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_448_
train_val,f_r_472_,data/suim_processed/images/train_val/f_r_472_.jpg,data/suim_processed/masks/train_val/f_r_472_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_472_
train_val,f_r_49_,data/suim_processed/images/train_val/f_r_49_.jpg,data/suim_processed/masks/train_val/f_r_49_.png,640,480,640,480,0,0|2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_49_
train_val,f_r_4_,data/suim_processed/images/train_val/f_r_4_.jpg,data/suim_processed/masks/train_val/f_r_4_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_4_
train_val,f_r_501_,data/suim_processed/images/train_val/f_r_501_.jpg,data/suim_processed/masks/train_val/f_r_501_.png,640,480,640,480,0,0|2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_501_
train_val,f_r_520_,data/suim_processed/images/train_val/f_r_520_.jpg,data/suim_processed/masks/train_val/f_r_520_.png,960,540,960,540,0,0|5|6|7,bit_threshold,0,518400,0,0.0,False,none,scene:f_r_520_
train_val,f_r_534_,data/suim_processed/images/train_val/f_r_534_.jpg,data/suim_processed/masks/train_val/f_r_534_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_534_
train_val,f_r_602_,data/suim_processed/images/train_val/f_r_602_.jpg,data/suim_processed/masks/train_val/f_r_602_.png,640,480,640,480,0,0|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_602_
train_val,f_r_631_,data/suim_processed/images/train_val/f_r_631_.jpg,data/suim_processed/masks/train_val/f_r_631_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_631_
train_val,f_r_63_,data/suim_processed/images/train_val/f_r_63_.jpg,data/suim_processed/masks/train_val/f_r_63_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1041_
train_val,f_r_64_,data/suim_processed/images/train_val/f_r_64_.jpg,data/suim_processed/masks/train_val/f_r_64_.png,640,480,640,480,0,2|5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_64_
train_val,f_r_665_,data/suim_processed/images/train_val/f_r_665_.jpg,data/suim_processed/masks/train_val/f_r_665_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_665_
train_val,f_r_669_,data/suim_processed/images/train_val/f_r_669_.jpg,data/suim_processed/masks/train_val/f_r_669_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_669_
train_val,f_r_673_,data/suim_processed/images/train_val/f_r_673_.jpg,data/suim_processed/masks/train_val/f_r_673_.png,960,540,960,540,0,2|5|6|7,bit_threshold,0,518400,0,0.0,False,none,scene:f_r_673_
train_val,f_r_683_,data/suim_processed/images/train_val/f_r_683_.jpg,data/suim_processed/masks/train_val/f_r_683_.png,640,480,640,480,0,0|3|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_683_
train_val,f_r_708_,data/suim_processed/images/train_val/f_r_708_.jpg,data/suim_processed/masks/train_val/f_r_708_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_708_
train_val,f_r_753_,data/suim_processed/images/train_val/f_r_753_.jpg,data/suim_processed/masks/train_val/f_r_753_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_753_
train_val,f_r_7_,data/suim_processed/images/train_val/f_r_7_.jpg,data/suim_processed/masks/train_val/f_r_7_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_7_
train_val,f_r_834_,data/suim_processed/images/train_val/f_r_834_.jpg,data/suim_processed/masks/train_val/f_r_834_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_834_
train_val,f_r_846_,data/suim_processed/images/train_val/f_r_846_.jpg,data/suim_processed/masks/train_val/f_r_846_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_846_
train_val,f_r_892_,data/suim_processed/images/train_val/f_r_892_.jpg,data/suim_processed/masks/train_val/f_r_892_.png,640,480,640,480,0,0|2|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_892_
train_val,f_r_916_,data/suim_processed/images/train_val/f_r_916_.jpg,data/suim_processed/masks/train_val/f_r_916_.png,640,480,640,480,0,0|3|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_916_
train_val,f_r_922_,data/suim_processed/images/train_val/f_r_922_.jpg,data/suim_processed/masks/train_val/f_r_922_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1783_
train_val,f_r_956_,data/suim_processed/images/train_val/f_r_956_.jpg,data/suim_processed/masks/train_val/f_r_956_.png,640,480,640,480,0,0|5|6,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_956_
train_val,n_l_107_,data/suim_processed/images/train_val/n_l_107_.jpg,data/suim_processed/masks/train_val/n_l_107_.png,640,480,640,480,0,6|7,bit_threshold,0,307200,0,0.0,False,none,scene:n_l_107_
train_val,n_l_1_,data/suim_processed/images/train_val/n_l_1_.jpg,data/suim_processed/masks/train_val/n_l_1_.png,640,480,640,480,0,0|1|5|7,bit_threshold,0,307200,0,0.0,False,none,scene:n_l_1_
train_val,n_l_28_,data/suim_processed/images/train_val/n_l_28_.jpg,data/suim_processed/masks/train_val/n_l_28_.png,960,540,960,540,0,0|1|4,bit_threshold,0,518400,0,0.0,False,none,scene:n_l_28_
train_val,n_l_45_,data/suim_processed/images/train_val/n_l_45_.jpg,data/suim_processed/masks/train_val/n_l_45_.png,640,480,640,480,0,0|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1804_
train_val,n_l_53_,data/suim_processed/images/train_val/n_l_53_.jpg,data/suim_processed/masks/train_val/n_l_53_.png,960,540,960,540,0,0|1|5|7,bit_threshold,0,518400,0,0.0,False,none,scene:n_l_53_
train_val,n_l_59_,data/suim_processed/images/train_val/n_l_59_.jpg,data/suim_processed/masks/train_val/n_l_59_.png,640,480,640,480,0,0|6,bit_threshold,0,307200,0,0.0,False,none,scene:n_l_59_
train_val,n_l_70_,data/suim_processed/images/train_val/n_l_70_.jpg,data/suim_processed/masks/train_val/n_l_70_.png,960,540,960,540,0,5|6|7,bit_threshold,0,518400,0,0.0,False,none,scene:n_l_70_
train_val,n_l_73_,data/suim_processed/images/train_val/n_l_73_.jpg,data/suim_processed/masks/train_val/n_l_73_.png,640,480,640,480,0,5|6|7,bit_threshold,0,307200,0,0.0,False,none,scene:f_r_1198_
