partition,sample_id,image_path,mask_path,width,height,original_mask_width,original_mask_height,mask_resized_nearest,classes_present,mask_policy,non_exact_rgb_pixels
train_val,d_r_198_,data/suim_processed/images/train_val/d_r_198_.jpg,data/suim_processed/masks/train_val/d_r_198_.png,1906,1080,1906,1080,0,0|1|4|5,bit_threshold,0
train_val,d_r_1_,data/suim_processed/images/train_val/d_r_1_.jpg,data/suim_processed/masks/train_val/d_r_1_.png,584,480,584,480,0,4|5|7,bit_threshold,0
train_val,d_r_204_,data/suim_processed/images/train_val/d_r_204_.jpg,data/suim_processed/masks/train_val/d_r_204_.png,640,480,640,480,0,0|1|5|7,bit_threshold,0
train_val,d_r_20_,data/suim_processed/images/train_val/d_r_20_.jpg,data/suim_processed/masks/train_val/d_r_20_.png,1280,720,1280,720,0,0|1|4|5,bit_threshold,251072
train_val,d_r_211_,data/suim_processed/images/train_val/d_r_211_.jpg,data/suim_processed/masks/train_val/d_r_211_.png,584,480,584,480,0,0|4|5,bit_threshold,0
train_val,d_r_215_,data/suim_processed/images/train_val/d_r_215_.jpg,data/suim_processed/masks/train_val/d_r_215_.png,1280,720,1280,720,0,0|2|4,bit_threshold,0
train_val,d_r_217_,data/suim_processed/images/train_val/d_r_217_.jpg,data/suim_processed/masks/train_val/d_r_217_.png,1280,720,1280,720,0,0|1|6,bit_threshold,0
train_val,d_r_223_,data/suim_processed/images/train_val/d_r_223_.jpg,data/suim_processed/masks/train_val/d_r_223_.png,1906,1080,1906,1080,0,4|5|7,bit_threshold,0
train_val,d_r_22_,data/suim_processed/images/train_val/d_r_22_.jpg,data/suim_processed/masks/train_val/d_r_22_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_23_,data/suim_processed/images/train_val/d_r_23_.jpg,data/suim_processed/masks/train_val/d_r_23_.png,480,448,480,448,0,0|1|4|5|7,bit_threshold,0
train_val,d_r_247_,data/suim_processed/images/train_val/d_r_247_.jpg,data/suim_processed/masks/train_val/d_r_247_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_249_,data/suim_processed/images/train_val/d_r_249_.jpg,data/suim_processed/masks/train_val/d_r_249_.png,1280,960,1280,960,0,0|1|6|7,bit_threshold,0
train_val,d_r_256_,data/suim_processed/images/train_val/d_r_256_.jpg,data/suim_processed/masks/train_val/d_r_256_.png,1906,1080,1906,1080,0,0|2|4|5,bit_threshold,0
train_val,d_r_258_,data/suim_processed/images/train_val/d_r_258_.jpg,data/suim_processed/masks/train_val/d_r_258_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_259_,data/suim_processed/images/train_val/d_r_259_.jpg,data/suim_processed/masks/train_val/d_r_259_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_25_,data/suim_processed/images/train_val/d_r_25_.jpg,data/suim_processed/masks/train_val/d_r_25_.png,480,448,480,448,0,0|1|4,bit_threshold,0
train_val,d_r_26_,data/suim_processed/images/train_val/d_r_26_.jpg,data/suim_processed/masks/train_val/d_r_26_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_270_,data/suim_processed/images/train_val/d_r_270_.jpg,data/suim_processed/masks/train_val/d_r_270_.png,640,480,640,480,0,0|1|5,bit_threshold,205513
train_val,d_r_273_,data/suim_processed/images/train_val/d_r_273_.jpg,data/suim_processed/masks/train_val/d_r_273_.png,640,480,640,480,0,0|1|5,bit_threshold,186044
train_val,d_r_274_,data/suim_processed/images/train_val/d_r_274_.jpg,data/suim_processed/masks/train_val/d_r_274_.png,1280,720,1280,720,0,0|1|5,bit_threshold,0
train_val,d_r_288_,data/suim_processed/images/train_val/d_r_288_.jpg,data/suim_processed/masks/train_val/d_r_288_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_293_,data/suim_processed/images/train_val/d_r_293_.jpg,data/suim_processed/masks/train_val/d_r_293_.png,1280,720,1280,720,0,0|4,bit_threshold,23561
train_val,d_r_297_,data/suim_processed/images/train_val/d_r_297_.jpg,data/suim_processed/masks/train_val/d_r_297_.png,640,480,640,480,0,0|1|6|7,bit_threshold,0
train_val,d_r_299_,data/suim_processed/images/train_val/d_r_299_.jpg,data/suim_processed/masks/train_val/d_r_299_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_29_,data/suim_processed/images/train_val/d_r_29_.jpg,data/suim_processed/masks/train_val/d_r_29_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_303_,data/suim_processed/images/train_val/d_r_303_.jpg,data/suim_processed/masks/train_val/d_r_303_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_305_,data/suim_processed/images/train_val/d_r_305_.jpg,data/suim_processed/masks/train_val/d_r_305_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_310_,data/suim_processed/images/train_val/d_r_310_.jpg,data/suim_processed/masks/train_val/d_r_310_.png,640,360,640,360,0,0|1|5,bit_threshold,94156
train_val,d_r_312_,data/suim_processed/images/train_val/d_r_312_.jpg,data/suim_processed/masks/train_val/d_r_312_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_319_,data/suim_processed/images/train_val/d_r_319_.jpg,data/suim_processed/masks/train_val/d_r_319_.png,1152,720,1152,720,0,0|4,bit_threshold,0
train_val,d_r_31_,data/suim_processed/images/train_val/d_r_31_.jpg,data/suim_processed/masks/train_val/d_r_31_.png,640,480,640,480,0,1|5|6|7,bit_threshold,0
train_val,d_r_323_,data/suim_processed/images/train_val/d_r_323_.jpg,data/suim_processed/masks/train_val/d_r_323_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_327_,data/suim_processed/images/train_val/d_r_327_.jpg,data/suim_processed/masks/train_val/d_r_327_.png,1280,720,1280,720,0,0|1,bit_threshold,0
train_val,d_r_333_,data/suim_processed/images/train_val/d_r_333_.jpg,data/suim_processed/masks/train_val/d_r_333_.png,1280,720,1280,720,0,0|4,bit_threshold,365409
train_val,d_r_33_,data/suim_processed/images/train_val/d_r_33_.jpg,data/suim_processed/masks/train_val/d_r_33_.png,1906,1080,1906,1080,0,0|4|7,bit_threshold,0
train_val,d_r_340_,data/suim_processed/images/train_val/d_r_340_.jpg,data/suim_processed/masks/train_val/d_r_340_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_347_,data/suim_processed/images/train_val/d_r_347_.jpg,data/suim_processed/masks/train_val/d_r_347_.png,640,480,640,480,0,0|1|6|7,bit_threshold,0
train_val,d_r_348_,data/suim_processed/images/train_val/d_r_348_.jpg,data/suim_processed/masks/train_val/d_r_348_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0
train_val,d_r_363_,data/suim_processed/images/train_val/d_r_363_.jpg,data/suim_processed/masks/train_val/d_r_363_.png,960,540,960,540,0,0|1|4|7,bit_threshold,0
train_val,d_r_364_,data/suim_processed/images/train_val/d_r_364_.jpg,data/suim_processed/masks/train_val/d_r_364_.png,480,448,480,448,0,0|1|4|5,bit_threshold,0
train_val,d_r_376_,data/suim_processed/images/train_val/d_r_376_.jpg,data/suim_processed/masks/train_val/d_r_376_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_377_,data/suim_processed/images/train_val/d_r_377_.jpg,data/suim_processed/masks/train_val/d_r_377_.png,960,540,960,540,0,0|1,bit_threshold,0
train_val,d_r_378_,data/suim_processed/images/train_val/d_r_378_.jpg,data/suim_processed/masks/train_val/d_r_378_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_37_,data/suim_processed/images/train_val/d_r_37_.jpg,data/suim_processed/masks/train_val/d_r_37_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_381_,data/suim_processed/images/train_val/d_r_381_.jpg,data/suim_processed/masks/train_val/d_r_381_.png,640,480,640,480,0,5|6,bit_threshold,0
train_val,d_r_382_,data/suim_processed/images/train_val/d_r_382_.jpg,data/suim_processed/masks/train_val/d_r_382_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_383_,data/suim_processed/images/train_val/d_r_383_.jpg,data/suim_processed/masks/train_val/d_r_383_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_385_,data/suim_processed/images/train_val/d_r_385_.jpg,data/suim_processed/masks/train_val/d_r_385_.png,640,480,640,480,0,0|1|3,bit_threshold,0
train_val,d_r_387_,data/suim_processed/images/train_val/d_r_387_.jpg,data/suim_processed/masks/train_val/d_r_387_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_388_,data/suim_processed/images/train_val/d_r_388_.jpg,data/suim_processed/masks/train_val/d_r_388_.png,640,480,640,480,0,0|1|7,bit_threshold,0
train_val,d_r_399_,data/suim_processed/images/train_val/d_r_399_.jpg,data/suim_processed/masks/train_val/d_r_399_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_3_,data/suim_processed/images/train_val/d_r_3_.jpg,data/suim_processed/masks/train_val/d_r_3_.png,1906,1080,1906,1080,0,0|1|4|5,bit_threshold,0
train_val,d_r_403_,data/suim_processed/images/train_val/d_r_403_.jpg,data/suim_processed/masks/train_val/d_r_403_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0
train_val,d_r_406_,data/suim_processed/images/train_val/d_r_406_.jpg,data/suim_processed/masks/train_val/d_r_406_.png,480,448,480,448,0,0|1|4|5,bit_threshold,0
train_val,d_r_419_,data/suim_processed/images/train_val/d_r_419_.jpg,data/suim_processed/masks/train_val/d_r_419_.png,640,480,640,480,0,0|1|5|6|7,bit_threshold,0
train_val,d_r_437_,data/suim_processed/images/train_val/d_r_437_.jpg,data/suim_processed/masks/train_val/d_r_437_.png,960,540,960,540,0,0|1|2|3|7,bit_threshold,0
train_val,d_r_444_,data/suim_processed/images/train_val/d_r_444_.jpg,data/suim_processed/masks/train_val/d_r_444_.png,480,448,480,448,0,0|1|4|5,bit_threshold,0
train_val,d_r_450_,data/suim_processed/images/train_val/d_r_450_.jpg,data/suim_processed/masks/train_val/d_r_450_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_455_,data/suim_processed/images/train_val/d_r_455_.jpg,data/suim_processed/masks/train_val/d_r_455_.png,640,360,640,360,0,0|1|5,bit_threshold,0
train_val,d_r_463_,data/suim_processed/images/train_val/d_r_463_.jpg,data/suim_processed/masks/train_val/d_r_463_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_466_,data/suim_processed/images/train_val/d_r_466_.jpg,data/suim_processed/masks/train_val/d_r_466_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_467_,data/suim_processed/images/train_val/d_r_467_.jpg,data/suim_processed/masks/train_val/d_r_467_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_46_,data/suim_processed/images/train_val/d_r_46_.jpg,data/suim_processed/masks/train_val/d_r_46_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_470_,data/suim_processed/images/train_val/d_r_470_.jpg,data/suim_processed/masks/train_val/d_r_470_.png,1280,720,1280,720,0,0|4,bit_threshold,149751
train_val,d_r_473_,data/suim_processed/images/train_val/d_r_473_.jpg,data/suim_processed/masks/train_val/d_r_473_.png,1280,720,1280,720,0,0|4,bit_threshold,41923
train_val,d_r_474_,data/suim_processed/images/train_val/d_r_474_.jpg,data/suim_processed/masks/train_val/d_r_474_.png,1906,1080,1906,1080,0,0|1|4|5,bit_threshold,0
train_val,d_r_476_,data/suim_processed/images/train_val/d_r_476_.jpg,data/suim_processed/masks/train_val/d_r_476_.png,480,448,480,448,0,0|1|5|7,bit_threshold,0
train_val,d_r_486_,data/suim_processed/images/train_val/d_r_486_.jpg,data/suim_processed/masks/train_val/d_r_486_.png,480,448,480,448,0,0|1|4|5,bit_threshold,0
train_val,d_r_493_,data/suim_processed/images/train_val/d_r_493_.jpg,data/suim_processed/masks/train_val/d_r_493_.png,640,480,640,480,0,1|4|5,bit_threshold,0
train_val,d_r_4_,data/suim_processed/images/train_val/d_r_4_.jpg,data/suim_processed/masks/train_val/d_r_4_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_50_,data/suim_processed/images/train_val/d_r_50_.jpg,data/suim_processed/masks/train_val/d_r_50_.png,640,480,640,480,0,0|1|5|7,bit_threshold,0
train_val,d_r_510_,data/suim_processed/images/train_val/d_r_510_.jpg,data/suim_processed/masks/train_val/d_r_510_.png,640,480,640,480,0,0|1|2|5|6|7,bit_threshold,0
train_val,d_r_513_,data/suim_processed/images/train_val/d_r_513_.jpg,data/suim_processed/masks/train_val/d_r_513_.png,960,540,960,540,0,0|1|4|5,bit_threshold,0
train_val,d_r_516_,data/suim_processed/images/train_val/d_r_516_.jpg,data/suim_processed/masks/train_val/d_r_516_.png,640,480,640,480,0,0|1|5|6|7,bit_threshold,0
train_val,d_r_519_,data/suim_processed/images/train_val/d_r_519_.jpg,data/suim_processed/masks/train_val/d_r_519_.png,640,480,640,480,0,0|1|4|5,bit_threshold,0
train_val,d_r_51_,data/suim_processed/images/train_val/d_r_51_.jpg,data/suim_processed/masks/train_val/d_r_51_.png,1906,1080,1906,1080,0,0|4|5,bit_threshold,0
train_val,d_r_526_,data/suim_processed/images/train_val/d_r_526_.jpg,data/suim_processed/masks/train_val/d_r_526_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_527_,data/suim_processed/images/train_val/d_r_527_.jpg,data/suim_processed/masks/train_val/d_r_527_.png,960,540,960,540,0,0|1|4|7,bit_threshold,0
train_val,d_r_52_,data/suim_processed/images/train_val/d_r_52_.jpg,data/suim_processed/masks/train_val/d_r_52_.png,1280,720,1280,720,0,0|1|4|6,bit_threshold,0
train_val,d_r_533_,data/suim_processed/images/train_val/d_r_533_.jpg,data/suim_processed/masks/train_val/d_r_533_.png,640,480,640,480,0,0|1|5|6|7,bit_threshold,0
train_val,d_r_541_,data/suim_processed/images/train_val/d_r_541_.jpg,data/suim_processed/masks/train_val/d_r_541_.png,1152,720,1152,720,0,0|4,bit_threshold,0
train_val,d_r_542_,data/suim_processed/images/train_val/d_r_542_.jpg,data/suim_processed/masks/train_val/d_r_542_.png,1906,1080,1906,1080,0,0|1|4|5,bit_threshold,0
train_val,d_r_546_,data/suim_processed/images/train_val/d_r_546_.jpg,data/suim_processed/masks/train_val/d_r_546_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_549_,data/suim_processed/images/train_val/d_r_549_.jpg,data/suim_processed/masks/train_val/d_r_549_.png,960,540,960,540,0,0|4,bit_threshold,0
train_val,d_r_551_,data/suim_processed/images/train_val/d_r_551_.jpg,data/suim_processed/masks/train_val/d_r_551_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_555_,data/suim_processed/images/train_val/d_r_555_.jpg,data/suim_processed/masks/train_val/d_r_555_.png,640,480,640,480,0,0|1|5|7,bit_threshold,0
train_val,d_r_563_,data/suim_processed/images/train_val/d_r_563_.jpg,data/suim_processed/masks/train_val/d_r_563_.png,640,480,640,480,0,0|1|6,bit_threshold,0
train_val,d_r_564_,data/suim_processed/images/train_val/d_r_564_.jpg,data/suim_processed/masks/train_val/d_r_564_.png,1280,720,1280,720,0,0|1|4|5,bit_threshold,252332
train_val,d_r_576_,data/suim_processed/images/train_val/d_r_576_.jpg,data/suim_processed/masks/train_val/d_r_576_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_587_,data/suim_processed/images/train_val/d_r_587_.jpg,data/suim_processed/masks/train_val/d_r_587_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_588_,data/suim_processed/images/train_val/d_r_588_.jpg,data/suim_processed/masks/train_val/d_r_588_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_591_,data/suim_processed/images/train_val/d_r_591_.jpg,data/suim_processed/masks/train_val/d_r_591_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_594_,data/suim_processed/images/train_val/d_r_594_.jpg,data/suim_processed/masks/train_val/d_r_594_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_597_,data/suim_processed/images/train_val/d_r_597_.jpg,data/suim_processed/masks/train_val/d_r_597_.png,960,540,960,540,0,0|1|5|6|7,bit_threshold,0
train_val,d_r_59_,data/suim_processed/images/train_val/d_r_59_.jpg,data/suim_processed/masks/train_val/d_r_59_.png,1280,720,1280,720,0,0|1|4|5,bit_threshold,142985
train_val,d_r_600_,data/suim_processed/images/train_val/d_r_600_.jpg,data/suim_processed/masks/train_val/d_r_600_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_604_,data/suim_processed/images/train_val/d_r_604_.jpg,data/suim_processed/masks/train_val/d_r_604_.png,1280,720,1280,720,0,0|1|7,bit_threshold,0
train_val,d_r_605_,data/suim_processed/images/train_val/d_r_605_.jpg,data/suim_processed/masks/train_val/d_r_605_.png,640,480,640,480,0,0|1,bit_threshold,0
train_val,d_r_606_,data/suim_processed/images/train_val/d_r_606_.jpg,data/suim_processed/masks/train_val/d_r_606_.png,640,360,640,360,0,0|1|5|6,bit_threshold,0
train_val,d_r_607_,data/suim_processed/images/train_val/d_r_607_.jpg,data/suim_processed/masks/train_val/d_r_607_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_615_,data/suim_processed/images/train_val/d_r_615_.jpg,data/suim_processed/masks/train_val/d_r_615_.png,1280,720,1280,720,0,0|1|5|7,bit_threshold,0
train_val,d_r_618_,data/suim_processed/images/train_val/d_r_618_.jpg,data/suim_processed/masks/train_val/d_r_618_.png,1280,720,1280,720,0,0|1|7,bit_threshold,0
train_val,d_r_61_,data/suim_processed/images/train_val/d_r_61_.jpg,data/suim_processed/masks/train_val/d_r_61_.png,1280,720,1280,720,0,0|1|5|6|7,bit_threshold,0
train_val,d_r_622_,data/suim_processed/images/train_val/d_r_622_.jpg,data/suim_processed/masks/train_val/d_r_622_.png,960,540,960,540,0,0|1|5,bit_threshold,0
train_val,d_r_629_,data/suim_processed/images/train_val/d_r_629_.jpg,data/suim_processed/masks/train_val/d_r_629_.png,640,480,640,480,0,6|7,bit_threshold,0
train_val,d_r_632_,data/suim_processed/images/train_val/d_r_632_.jpg,data/suim_processed/masks/train_val/d_r_632_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_638_,data/suim_processed/images/train_val/d_r_638_.jpg,data/suim_processed/masks/train_val/d_r_638_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0
train_val,d_r_649_,data/suim_processed/images/train_val/d_r_649_.jpg,data/suim_processed/masks/train_val/d_r_649_.png,1280,720,1280,720,0,0|1|3,bit_threshold,0
train_val,d_r_654_,data/suim_processed/images/train_val/d_r_654_.jpg,data/suim_processed/masks/train_val/d_r_654_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_656_,data/suim_processed/images/train_val/d_r_656_.jpg,data/suim_processed/masks/train_val/d_r_656_.png,1152,720,1152,720,0,0|4,bit_threshold,0
train_val,d_r_657_,data/suim_processed/images/train_val/d_r_657_.jpg,data/suim_processed/masks/train_val/d_r_657_.png,1906,1080,1906,1080,0,4|5,bit_threshold,0
train_val,d_r_65_,data/suim_processed/images/train_val/d_r_65_.jpg,data/suim_processed/masks/train_val/d_r_65_.png,640,480,640,480,0,0|1|2|3,bit_threshold,132841
train_val,d_r_661_,data/suim_processed/images/train_val/d_r_661_.jpg,data/suim_processed/masks/train_val/d_r_661_.png,1280,720,1280,720,0,4|7,bit_threshold,0
train_val,d_r_662_,data/suim_processed/images/train_val/d_r_662_.jpg,data/suim_processed/masks/train_val/d_r_662_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_664_,data/suim_processed/images/train_val/d_r_664_.jpg,data/suim_processed/masks/train_val/d_r_664_.png,1280,720,1280,720,0,0|4|7,bit_threshold,0
train_val,d_r_674_,data/suim_processed/images/train_val/d_r_674_.jpg,data/suim_processed/masks/train_val/d_r_674_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_67_,data/suim_processed/images/train_val/d_r_67_.jpg,data/suim_processed/masks/train_val/d_r_67_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_682_,data/suim_processed/images/train_val/d_r_682_.jpg,data/suim_processed/masks/train_val/d_r_682_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_689_,data/suim_processed/images/train_val/d_r_689_.jpg,data/suim_processed/masks/train_val/d_r_689_.png,1906,1080,1906,1080,0,0|4|5,bit_threshold,0
train_val,d_r_690_,data/suim_processed/images/train_val/d_r_690_.jpg,data/suim_processed/masks/train_val/d_r_690_.png,1152,720,1152,720,0,0|4,bit_threshold,0
train_val,d_r_692_,data/suim_processed/images/train_val/d_r_692_.jpg,data/suim_processed/masks/train_val/d_r_692_.png,1280,720,1280,720,0,0|1|6|7,bit_threshold,0
train_val,d_r_702_,data/suim_processed/images/train_val/d_r_702_.jpg,data/suim_processed/masks/train_val/d_r_702_.png,1280,720,1280,720,0,0|1|7,bit_threshold,0
train_val,d_r_706_,data/suim_processed/images/train_val/d_r_706_.jpg,data/suim_processed/masks/train_val/d_r_706_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_709_,data/suim_processed/images/train_val/d_r_709_.jpg,data/suim_processed/masks/train_val/d_r_709_.png,800,600,800,600,0,0|1,bit_threshold,0
train_val,d_r_710_,data/suim_processed/images/train_val/d_r_710_.jpg,data/suim_processed/masks/train_val/d_r_710_.png,960,540,960,540,0,0|1|4|7,bit_threshold,0
train_val,d_r_712_,data/suim_processed/images/train_val/d_r_712_.jpg,data/suim_processed/masks/train_val/d_r_712_.png,416,416,416,416,0,0|1|7,bit_threshold,0
train_val,d_r_714_,data/suim_processed/images/train_val/d_r_714_.jpg,data/suim_processed/masks/train_val/d_r_714_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_715_,data/suim_processed/images/train_val/d_r_715_.jpg,data/suim_processed/masks/train_val/d_r_715_.png,960,540,960,540,0,0|1|4,bit_threshold,0
train_val,d_r_716_,data/suim_processed/images/train_val/d_r_716_.jpg,data/suim_processed/masks/train_val/d_r_716_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_732_,data/suim_processed/images/train_val/d_r_732_.jpg,data/suim_processed/masks/train_val/d_r_732_.png,1280,720,1280,720,0,0|1|5,bit_threshold,0
train_val,d_r_733_,data/suim_processed/images/train_val/d_r_733_.jpg,data/suim_processed/masks/train_val/d_r_733_.png,640,480,640,480,0,0|1|5|7,bit_threshold,0
train_val,d_r_738_,data/suim_processed/images/train_val/d_r_738_.jpg,data/suim_processed/masks/train_val/d_r_738_.png,640,480,640,480,0,0|1|3,bit_threshold,0
train_val,d_r_739_,data/suim_processed/images/train_val/d_r_739_.jpg,data/suim_processed/masks/train_val/d_r_739_.png,960,540,960,540,0,0|1|4|7,bit_threshold,0
train_val,d_r_740_,data/suim_processed/images/train_val/d_r_740_.jpg,data/suim_processed/masks/train_val/d_r_740_.png,640,480,640,480,0,0|1|5,bit_threshold,0
train_val,d_r_741_,data/suim_processed/images/train_val/d_r_741_.jpg,data/suim_processed/masks/train_val/d_r_741_.png,1280,720,1280,720,0,0|1|4,bit_threshold,86188
train_val,d_r_745_,data/suim_processed/images/train_val/d_r_745_.jpg,data/suim_processed/masks/train_val/d_r_745_.png,1280,720,1280,720,0,0|1|7,bit_threshold,0
train_val,d_r_746_,data/suim_processed/images/train_val/d_r_746_.jpg,data/suim_processed/masks/train_val/d_r_746_.png,480,448,480,448,0,0|1|4|5,bit_threshold,0
train_val,d_r_759_,data/suim_processed/images/train_val/d_r_759_.jpg,data/suim_processed/masks/train_val/d_r_759_.png,1280,720,1280,720,0,0|4,bit_threshold,38280
train_val,d_r_768_,data/suim_processed/images/train_val/d_r_768_.jpg,data/suim_processed/masks/train_val/d_r_768_.png,640,480,640,480,0,0|1|5|6,bit_threshold,0
